artist_name,track_name,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
Shawn Mendes,Perfectly Wrong,212773,2018,63,0.361,0.311,2,-11.748,0,0.0369,0.872,0.0,0.0987,0.323,89.362,SAD
Ariana Grande,ghostin,271467,2018,54,0.396,0.358,9,-8.294,1,0.0292,0.422,1.71e-05,0.19,0.111,103.807,SAD
Atif Aslam,O Saathi,251819,2018,69,0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,HAPPY
Jagjit Singh,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",291067,2018,41,0.354,0.272,2,-13.642,1,0.0295,0.907,0.612,0.0848,0.263,90.566,SCARED
Atif Aslam,Paniyon Sa,236240,2018,56,0.523,0.768,0,-4.953,0,0.0566,0.447,0.000226,0.0833,0.669,75.03,HAPPY
Mohit Chauhan,Top Tucker,223499,2018,48,0.721,0.657,11,-8.304,1,0.0319,0.0322,0.00109,0.0618,0.454,132.97,SCARED
Atif Aslam,Tera Hua (Unplugged),230005,2018,39,0.301,0.318,2,-7.046,1,0.0283,0.751,5.32e-06,0.161,0.245,103.451,HAPPY
Mohit Chauhan,Top Tucker - Telugu,222464,2018,29,0.743,0.739,1,-7.815,1,0.0303,0.0295,0.00229,0.052,0.41,132.995,SCARED
Shreya Ghoshal,Tere Bina,300750,2018,21,0.429,0.42,1,-7.255,1,0.0302,0.907,0.0265,0.0985,0.126,114.829,HAPPY
Atif Aslam,Dekhte Dekhte,256271,2018,10,0.799,0.828,9,-4.846,0,0.0782,0.424,0.0,0.145,0.627,105.04,HAPPY
Imagine Dragons,Natural,189467,2018,80,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,SCARED
Imagine Dragons,Birds,219440,2018,70,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,ANGRY
