search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
3,Jazzy Nights songs,Jazzy nights,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,11
3,Jazzy Nights songs,G music jazzy night time fun,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,12
3,Jazzy Nights songs,Jazzy Nights!,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,13
4,Rainy Day Tunes songs,⛈☔️💦 Rainy Day Rain Song Rain Music Playlist Mix by Helen Vivian 💦☔️⛈,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,1
4,Rainy Day Tunes songs,Rainy Day Songs - Best Bollywood Rain Songs,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,2
4,Rainy Day Tunes songs,Cozy Fall 2024 - Best Songs for Rainy Days 2024 Playlist (Warm and Cozy Music 2024-2025),https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,3
4,Rainy Day Tunes songs,Top 25 Rain Songs,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,4
4,Rainy Day Tunes songs,rainy day songs,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,5
4,Rainy Day Tunes songs,Indie Music for rainy days,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,6
4,Rainy Day Tunes songs,A Rainy Day in New York Soundtrack,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,7
4,Rainy Day Tunes songs,Country rain songs,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,8
4,Rainy Day Tunes songs,Rainy Day Music Playlist: Perfect Songs for a Rainy Day (Updated 2020-2021)By Support Records,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,9
